사용일자	호선명	역명	승차총승객수	하차총승객수	등록일자	승하차
20180124	2호선	구로디지털단지	68919	69284	20180127	138203
20180130	2호선	삼성(무역센터)	70226	67704	20180202	137930
20180128	2호선	홍대입구	70158	67286	20180131	137444
20180208	2호선	삼성(무역센터)	67680	69742	20180211	137422
20180124	2호선	홍대입구	67418	69992	20180127	137410
20180127	3호선	고속터미널	69301	66145	20180130	135446
20180112	2호선	삼성(무역센터)	66854	68340	20180115	135194
20180204	2호선	홍대입구	68951	66144	20180207	135095
20180119	2호선	신도림	66776	66683	20180122	133459
20180125	2호선	삼성(무역센터)	65911	67251	20180128	133162
20180130	2호선	역삼	65233	67101	20180202	132334
20180117	2호선	삼성(무역센터)	65316	66794	20180120	132110
20180207	2호선	삼성(무역센터)	65405	66646	20180210	132051
20180130	2호선	선릉	72099	59587	20180202	131686
20180207	2호선	역삼	63062	68449	20180210	131511
20180119	3호선	고속터미널	66001	65431	20180122	131432
20180212	2호선	선릉	70710	60441	20180215	131151
20180117	2호선	선릉	70431	60472	20180120	130903
20180131	2호선	역삼	62122	68536	20180203	130658
20180117	2호선	역삼	62453	68118	20180120	130571
20180131	2호선	선릉	70167	60400	20180203	130567
20180119	2호선	선릉	70000	60289	20180122	130289
20180206	2호선	역삼	62787	67327	20180209	130114
20180118	2호선	선릉	69847	60243	20180121	130090
20180119	2호선	역삼	61761	68283	20180122	130044
20180201	2호선	신도림	65470	64455	20180204	129925
20180120	2호선	신림	65529	64354	20180123	129883
20180115	2호선	선릉	69902	59908	20180118	129810
20180208	2호선	역삼	61676	67879	20180211	129555
20180115	2호선	역삼	61779	67580	20180118	129359
20180201	2호선	선릉	69617	59626	20180204	129243
20180118	2호선	신도림	65103	64107	20180121	129210
20180208	2호선	선릉	69559	59624	20180211	129183
20180207	2호선	선릉	69647	59387	20180210	129034
20180117	2호선	신도림	65010	63930	20180120	128940
20180123	2호선	역삼	62149	66767	20180126	128916
20180123	2호선	삼성(무역센터)	63508	65094	20180126	128602
20180212	2호선	삼성(무역센터)	63354	65077	20180215	128431
20180208	2호선	신도림	64763	63661	20180211	128424
20180122	2호선	선릉	69069	59316	20180125	128385
20180124	2호선	삼성(무역센터)	63709	64609	20180127	128318
20180113	2호선	신림	64562	63620	20180116	128182
20180118	2호선	역삼	60951	67045	20180121	127996
20180212	2호선	역삼	61197	66495	20180215	127692
20180121	2호선	잠실(송파구청)	66500	61173	20180124	127673
20180112	2호선	신도림	63962	63654	20180115	127616
20180129	2호선	삼성(무역센터)	62890	64501	20180201	127391
20180206	2호선	삼성(무역센터)	62853	64414	20180209	127267
20180203	2호선	신림	63807	63330	20180206	127137
20180122	2호선	역삼	61372	65738	20180125	127110
20180206	2호선	선릉	68475	58534	20180209	127009
20180115	2호선	삼성(무역센터)	62230	64313	20180118	126543
20180123	2호선	선릉	67735	58742	20180126	126477
20180131	2호선	신도림	64068	62227	20180203	126295
20180114	2호선	잠실(송파구청)	65850	60437	20180117	126287
20180205	2호선	선릉	67682	58592	20180208	126274
20180201	2호선	역삼	60145	65971	20180204	126116
20180122	2호선	삼성(무역센터)	62446	63546	20180125	125992
20180130	2호선	신도림	63349	62497	20180202	125846
20180205	2호선	역삼	60194	65255	20180208	125449
20180129	2호선	선릉	67282	58165	20180201	125447
20180207	2호선	신도림	63139	62224	20180210	125363
20180124	2호선	역삼	60640	64638	20180127	125278
20180125	2호선	역삼	60396	64594	20180128	124990
20180119	1호선	서울역	63754	60667	20180122	124421
20180126	3호선	고속터미널	62572	61828	20180129	124400
20180212	2호선	신도림	62895	61490	20180215	124385
20180115	2호선	신도림	62782	61350	20180118	124132
20180125	2호선	선릉	66847	57210	20180128	124057
20180205	2호선	삼성(무역센터)	61200	62833	20180208	124033
20180129	2호선	역삼	59434	64385	20180201	123819
20180126	2호선	선릉	66756	56878	20180129	123634
